x,y,z,vector_magnitude
102.076,-42.6962,-105.993,153.222
102.145,-42.6263,-106.11,153.329
102.033,-42.6755,-106.149,153.296
101.819,-42.697,-106.292,153.258
101.852,-42.7587,-106.085,153.154
101.778,-42.6995,-106.15,153.134
101.856,-42.7279,-106.048,153.123
101.778,-42.8399,-106.032,153.091
101.903,-42.7087,-106.039,153.142
101.848,-42.7554,-105.89,153.016
101.908,-42.5805,-105.933,153.036
101.968,-42.6903,-105.963,153.128
101.8,-42.8067,-106.008,153.08
101.798,-42.8843,-105.914,153.035
101.793,-42.8582,-106.073,153.134
101.811,-42.9464,-106.076,153.174
101.823,-42.8506,-106.087,153.162
101.765,-42.9719,-106.214,153.245
101.841,-42.9297,-106.132,153.227
101.791,-42.9588,-106.122,153.195
101.851,-42.95,-105.85,153.044
101.809,-42.9462,-105.94,153.077
101.956,-42.9124,-106.031,153.229
102.053,-43.0412,-106.041,153.336
102.074,-42.9716,-106.002,153.304
102.084,-43.0797,-105.961,153.312
102.073,-42.9415,-105.926,153.243
102.068,-42.9346,-105.783,153.138
102.068,-42.9346,-105.783,153.138
102.125,-42.9133,-105.748,153.146
102.062,-42.8727,-105.789,153.121
101.958,-42.8373,-105.806,153.053
101.997,-42.7836,-105.776,153.044
102.028,-42.8935,-105.762,153.086
102.045,-42.7961,-105.8,153.096
101.933,-42.8176,-105.821,153.042
102.019,-42.8649,-105.718,153.041
101.963,-42.9519,-105.841,153.113
102.096,-42.8747,-105.846,153.183
102.181,-42.8548,-105.704,153.137
102.238,-42.8596,-105.74,153.201
102.228,-42.8907,-105.617,153.118
102.198,-42.8263,-105.778,153.191
102.21,-42.7949,-105.54,153.026
102.139,-42.7441,-105.636,153.031
102.131,-42.6968,-105.604,152.99
102.095,-42.7625,-105.744,153.081
102.123,-42.9783,-105.62,153.074
101.92,-42.9169,-105.707,152.982
101.804,-42.9317,-105.837,152.999
101.778,-42.8407,-105.966,153.045
101.719,-42.9241,-106.023,153.069
101.865,-42.9835,-106.06,153.208
101.768,-42.9482,-106.113,153.171
101.797,-42.9121,-106.108,153.176
101.735,-43.106,-106.096,153.181
101.749,-42.9824,-106.248,153.262
101.675,-43.0826,-106.156,153.177
101.699,-42.98,-106.116,153.136
101.864,-43.0547,-105.939,153.144
101.795,-43.0414,-106.089,153.198
101.774,-43.1691,-105.929,153.109
101.778,-43.1287,-105.863,153.055
101.699,-43.0658,-105.829,152.961
101.811,-43.0218,-105.857,153.043
101.688,-43.0977,-106.057,153.121
101.765,-43.0116,-105.971,153.088
101.708,-43.0553,-106.124,153.168
101.832,-42.9551,-106.086,153.196
101.734,-42.9189,-106.091,153.124
101.794,-43.0398,-105.937,153.092
101.726,-43.1607,-106.033,153.147
101.817,-43.1192,-106.109,153.249
101.791,-43.1474,-106.095,153.229
101.879,-43.089,-106.158,153.315
101.875,-43.0098,-106.164,153.294
101.874,-42.8559,-106.369,153.393
101.886,-43.0137,-106.168,153.306
101.828,-42.9916,-106.287,153.343
101.796,-43.0784,-106.327,153.375
101.907,-42.9179,-106.459,153.494
101.825,-43.0254,-106.531,153.52
101.8,-43.0136,-106.508,153.484
101.604,-43.0857,-106.539,153.396
101.745,-43.0218,-106.506,153.448
101.605,-43.0671,-106.487,153.356
101.69,-43.0625,-106.33,153.302
101.633,-43.0951,-106.497,153.389
101.677,-42.9967,-106.535,153.417
101.659,-43.0679,-106.46,153.372
101.729,-43.0379,-106.462,153.412
101.827,-43.0697,-106.343,153.403
101.921,-43.0343,-106.419,153.509
101.925,-43.0634,-106.365,153.482
101.883,-43.0051,-106.428,153.481
101.869,-43.0343,-106.32,153.406
101.883,-42.921,-106.157,153.27
101.875,-42.9209,-106.038,153.182
101.98,-42.8115,-105.95,153.16
101.827,-42.9044,-106.139,153.216
101.838,-42.8931,-106.165,153.238
101.732,-42.9773,-106.337,153.31
101.813,-42.8938,-106.266,153.291
101.751,-42.9577,-106.367,153.338
101.873,-42.9037,-106.273,153.339
101.817,-42.9113,-106.198,153.251
101.825,-42.9247,-106.138,153.22
101.717,-43.0125,-106.004,153.079
101.807,-42.9902,-106.071,153.18
101.86,-43.0618,-106.017,153.197
102.037,-43.0315,-106.021,153.309
102.01,-43.0854,-105.975,153.274
102.106,-43.0621,-105.918,153.292
102.05,-43.0611,-106,153.312
102.064,-42.9858,-105.858,153.201
102.02,-43.1467,-105.913,153.256
102.096,-43.1667,-106.059,153.413
101.976,-43.1953,-106.227,153.457
102,-43.0632,-106.207,153.422
102.034,-43.061,-106.216,153.45
102.091,-43.0176,-106.136,153.421
101.993,-42.9997,-106.133,153.348
101.931,-42.9582,-106.12,153.286
102.044,-43.0277,-105.98,153.285
102.017,-42.9371,-106.045,153.286
102.007,-42.8612,-105.888,153.15
102.109,-42.7833,-105.904,153.207
102.137,-42.9551,-105.77,153.181
102.155,-42.923,-105.699,153.135
102.137,-42.9552,-105.806,153.206
102.17,-43.0469,-105.833,153.272
102.051,-43.0461,-106.06,153.349
102.042,-42.8449,-105.961,153.219
101.861,-42.8591,-106.04,153.156
101.977,-42.8946,-105.976,153.199
101.924,-42.962,-105.924,153.147
101.958,-42.9115,-105.913,153.148
101.9,-43.1152,-105.994,153.223
101.923,-42.9896,-106.022,153.222
101.867,-42.9636,-105.937,153.119
101.801,-42.9,-106.008,153.106
101.825,-43.041,-106.075,153.208
101.73,-42.9233,-106.321,153.283
101.806,-42.947,-106.258,153.296
101.849,-42.8092,-106.215,153.256
101.9,-42.7988,-106.21,153.284
101.911,-42.8101,-106.154,153.256
101.619,-42.8485,-106.309,153.18
101.552,-42.8652,-106.095,152.991
101.477,-42.8435,-106.182,152.996
101.621,-42.9081,-106.024,153
101.666,-42.9124,-106.131,153.105
101.771,-42.9221,-106.088,153.148
101.758,-43.0521,-106.149,153.219
101.687,-42.9535,-106.086,153.1
101.691,-42.9265,-105.848,152.93
101.644,-42.8891,-105.901,152.925
101.653,-42.8739,-105.983,152.983
101.707,-42.9164,-106.118,153.125
101.722,-42.9861,-106.071,153.121
101.697,-42.9674,-106.07,153.099
101.687,-42.9392,-106.078,153.091
101.709,-42.916,-105.993,153.039
101.676,-42.9808,-105.991,153.034
101.748,-42.9491,-105.84,152.969
101.704,-43.0207,-106.003,153.072
101.915,-43.014,-105.957,153.179
101.9,-43.038,-106.044,153.236
101.898,-42.9536,-105.991,153.174
101.947,-42.8068,-106.052,153.208
102.05,-42.6973,-106.061,153.252
101.992,-42.781,-105.948,153.159
101.823,-42.7877,-106.055,153.122
101.81,-42.7852,-105.954,153.043
101.862,-42.8105,-105.843,153.008
101.887,-42.8193,-105.829,153.017
101.782,-42.84,-105.729,152.884
101.767,-42.914,-105.82,152.958
101.871,-42.8705,-105.636,152.888
101.848,-42.8645,-105.779,152.969
101.855,-42.9068,-105.737,152.957
101.921,-42.8596,-105.93,153.121
102.041,-42.9478,-105.848,153.169
101.972,-42.9664,-105.994,153.229
101.957,-42.852,-106.099,153.26
101.948,-42.8109,-106.068,153.221
101.948,-42.8109,-106.068,153.221
101.923,-42.7773,-106.01,153.155
101.985,-42.8705,-106.024,153.232
101.986,-42.8412,-106.018,153.22
101.97,-42.903,-106.039,153.241
101.866,-42.7666,-106.164,153.221
101.866,-42.7666,-106.164,153.221
101.905,-42.7751,-106.076,153.188
101.908,-42.7909,-106.03,153.162
101.943,-42.796,-105.987,153.157
101.818,-42.8083,-106.069,153.134
101.77,-42.7027,-106.171,153.143
101.77,-42.7027,-106.171,153.143
101.943,-42.8271,-106.09,153.237
101.925,-42.7734,-106.213,153.295
102.047,-42.8249,-106.028,153.263
102.14,-42.8611,-105.965,153.292
102.113,-42.8967,-105.845,153.201
102.121,-42.8923,-105.872,153.223
102.01,-42.8376,-105.96,153.195
102.02,-42.7153,-105.925,153.143
